CustomerID,FirstName,LastName,Email,PhoneNumber,Street,City,State,PostalCode,DateOfBirth,AccountCreationDate,LastPurchaseDate,LoyaltyPoints
CID44333,First71,Last24,first71_last24@example.com,532-591-7724,804 Main St,City37,State19,32145,1989-06-20,2021-11-11,2023-06-28,5950
CID19452,First23,Last97,first23_last97@example.com,600-684-9947,3745 Main St,City68,State36,21458,2000-04-29,2015-02-19,2023-06-03,7531
CID61079,First67,Last21,first67_last21@example.com,765-508-9940,2846 Main St,City35,State6,71680,1950-12-09,2021-05-28,2023-11-09,6327
CID85021,First75,Last73,first75_last73@example.com,602-817-2098,5808 Main St,City53,State42,26139,2000-06-20,2015-01-08,2023-07-28,8570
CID93918,First40,Last71,first40_last71@example.com,736-755-7463,4061 Main St,City94,State40,41318,1957-03-29,2015-11-09,2023-11-09,1621
CID36263,First59,Last46,first59_last46@example.com,153-138-4013,1037 Main St,City36,State36,87474,2006-04-20,2020-04-03,2023-04-19,8013
CID88030,First75,Last10,first75_last10@example.com,848-711-2448,1915 Main St,City24,State24,32938,2010-05-23,2022-08-27,2023-05-06,6978
CID78781,First5,Last24,first5_last24@example.com,327-140-3462,5024 Main St,City71,State7,13649,1972-02-25,2020-10-30,2023-02-09,3461
CID58692,First26,Last9,first26_last9@example.com,200-780-1484,3235 Main St,City56,State25,48568,1998-07-22,2015-05-15,2023-01-14,1689
CID93512,First44,Last29,first44_last29@example.com,979-165-4013,1289 Main St,City66,State26,41908,1995-04-16,2016-02-12,2023-05-21,4880
CID26890,First30,Last32,first30_last32@example.com,126-101-4563,5608 Main St,City89,State43,62226,1994-10-08,2020-10-10,2023-10-12,400
CID52273,First56,Last69,first56_last69@example.com,625-925-5690,9205 Main St,City60,State47,19124,1997-09-15,2017-05-07,2023-02-12,9222
CID62572,First69,Last33,first69_last33@example.com,942-153-3550,6817 Main St,City11,State34,21924,1971-11-14,2015-10-23,2023-03-27,3264
CID73456,First20,Last96,first20_last96@example.com,663-803-1518,4980 Main St,City84,State31,57232,1988-08-21,2020-11-23,2023-06-24,9358
CID49983,First76,Last64,first76_last64@example.com,724-766-7378,6343 Main St,City82,State9,39421,1998-02-16,2021-10-19,2023-09-17,6818
CID73543,First1,Last73,first1_last73@example.com,664-790-9089,3832 Main St,City11,State21,94103,1967-03-31,2017-02-03,2023-03-24,2551
CID63947,First83,Last62,first83_last62@example.com,345-302-4887,1321 Main St,City20,State31,73324,1977-09-03,2022-07-03,2023-08-28,8253
CID29746,First76,Last4,first76_last4@example.com,495-548-7681,9368 Main St,City16,State41,21942,1981-02-27,2022-05-05,2023-06-04,1460
CID29973,First8,Last99,first8_last99@example.com,111-942-8127,5157 Main St,City86,State34,52750,2003-04-05,2017-04-10,2023-05-18,1313
CID30480,First38,Last46,first38_last46@example.com,232-111-2332,8207 Main St,City46,State15,55265,1986-07-30,2022-08-28,2023-06-10,9239
CID65353,First62,Last36,first62_last36@example.com,626-441-5035,1673 Main St,City9,State33,60626,1973-03-08,2016-02-26,2023-11-03,7929
CID59189,First77,Last89,first77_last89@example.com,886-180-6296,5107 Main St,City97,State5,78187,1997-10-15,2015-02-15,2023-04-14,4626
CID49002,First40,Last82,first40_last82@example.com,965-107-4987,3150 Main St,City15,State47,64649,2003-09-16,2020-11-23,2023-05-14,688
CID70375,First7,Last46,first7_last46@example.com,729-950-6273,1257 Main St,City31,State13,74720,2007-09-28,2020-06-27,2023-02-19,9821
CID64973,First12,Last74,first12_last74@example.com,326-731-8503,8864 Main St,City46,State11,31325,2000-02-09,2019-09-04,2023-05-14,8004
CID89961,First26,Last21,first26_last21@example.com,953-712-1361,1674 Main St,City71,State12,25033,1960-07-14,2015-09-15,2023-07-20,947
CID59380,First38,Last21,first38_last21@example.com,287-524-1409,1384 Main St,City27,State4,79008,1976-04-02,2015-02-14,2023-04-15,5841
CID56289,First67,Last29,first67_last29@example.com,841-360-2376,6124 Main St,City63,State20,64034,2006-06-19,2020-05-15,2023-07-06,1520
CID89533,First94,Last79,first94_last79@example.com,362-342-2463,3839 Main St,City40,State17,67238,1976-08-21,2017-03-20,2023-06-27,7883
CID90668,First24,Last45,first24_last45@example.com,527-338-4499,163 Main St,City91,State46,92972,1986-06-07,2020-08-06,2023-10-07,9424
